"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"UA","Under Armour","Consumer Discretionary","215.7"
"UAL","United Continental Holding Inc","Industrials","378.8"
"UHS","Universal Health Services","Health Care","99.0"
"UNH","United Health Group Inc.","Health Care","952.0"
"UNM","Unum Group","Financials","246.6"
"UNP","Union Pacific","Industrials","869.5"
"UPS","United Parcel Service","Industrials","896.0"
"URBN","Urban Outfitters","Consumer Discretionary","125.1"
"URI","United Rentals, Inc.","Industrials","95.4"
"USB","U.S. Bancorp","Financials","1766.9"
"UTX","United Technologies","Industrials","890.6"
"V","Visa Inc.","Information Technology","2433.0"
"VAR","Varian Medical Systems","Health Care","99.5"
"VFC","V.F. Corp.","Consumer Discretionary","425.2"
"VIAB","Viacom Inc.","Consumer Discretionary","397.9"
"VLO","Valero Energy","Energy","499.7"
"VMC","Vulcan Materials","Materials","133.0"
"VNO","Vornado Realty Trust","Financials","188.5"
"VRSK","Verisk Analytics","Industrials","168.5"
"VRSN","Verisign Inc.","Information Technology","114.0"
"VRTX","Vertex Pharmaceuticals Inc.","Health Care","244.3"
"VTR","Ventas Inc.","Financials","331.9"
"VZ","Verizon Communications","TelecommunicationsServices","4065.7"
"WAT","Waters Corp.","Health Care","48.3"
"WBA","Walgreens Boots Alliance","Consumer Staples","1092.0"
"WDC","Western Digital","Information Technology","230.0"
"WEC","Wisconsin Energy Corp.","Utilities","315.7"
"WFC","Wells Fargo","Financials","5145.2"
"WFM","Whole Foods Market","Consumer Staples","358.6"
"WHR","Whirlpool Corp.","Consumer Discretionary","78.0"
"WM","Waste Management Inc.","Industrials","451.8"
"WMB","Williams Companies","Energy","749.0"
"WMT","Wal-Mart Stores","Consumer Staples","3215.0"
"WRK","WestRock Co","Materials","140.9"
"WU","Western Union Co.","Information Technology","512.1"
"WY","Weyerhaeuser Corp.","Financials","514.1"
"WYN","Wyndham Worldwide","Consumer Discretionary","118.1"
"WYNN","Wynn Resorts Ltd.","Consumer Discretionary","101.5"
"XEC","Cimarex Energy","Energy","94.5"
"XEL","Xcel Energy Inc.","Utilities","507.0"
"XL","XL Capital","Financials","168.5"
"XLNX","Xilinx Inc.","Information Technology","257.0"
"XOM","Exxon Mobil Corp.","Energy","4169.4"
"XRAY","Dentsply Int'l","Health Care","139.8"
"XRX","Xerox Corp.","Information Technology","1068.8"
"XYL","Xylem Inc.","Industrials","181.5"
"YHOO","Yahoo Inc.","Information Technology","939.9"
"YUM","Yum! Brands Inc.","Consumer Discretionary","432.0"
"ZBH","Zimmer Biomet Holdings","Health Care","203.4"
"ZION","Zions Bancorp","Financials","203.7"
"ZTS","Zoetis, Inc.","Health Care","499.3"